GEO_ID,FIPS,NAME,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0047E,DP05_0055E,DP05_0060E,DP05_0061E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0047PE,DP05_0055PE,DP05_0060PE,DP05_0061PE
1400000U,06037125321,Census Tract 1253.21; Los Angeles County; California,1927,139,0,395,0,210,169,67.9,4.9,0,13.9,0,7.4,6
1400000U,06037125322,Census Tract 1253.22; Los Angeles County; California,832,194,0,161,0,226,677,39.8,9.3,0,7.7,0,10.8,32.4
1400000U,06037125402,Census Tract 1254.02; Los Angeles County; California,2041,398,11,280,61,569,461,53.4,10.4,0.3,7.3,1.6,14.9,12.1
1400000U,06037125403,Census Tract 1254.03; Los Angeles County; California,1241,361,15,238,0,291,448,47.8,13.9,0.6,9.2,0,11.2,17.3
1400000U,06037125404,Census Tract 1254.04; Los Angeles County; California,1125,914,0,247,0,267,448,37.5,30.5,0,8.2,0,8.9,14.9
1400000U,06037125501,Census Tract 1255.01; Los Angeles County; California,1898,368,14,186,0,246,257,63.9,12.4,0.5,6.3,0,8.3,8.7
1400000U,06037125502,Census Tract 1255.02; Los Angeles County; California,2235,217,111,280,0,428,425,60.5,5.9,3,7.6,0,11.6,11.5
1400000U,06037125600,Census Tract 1256; Los Angeles County; California,1764,247,0,265,0,340,374,59,8.3,0,8.9,0,11.4,12.5
1400000U,06037127102,Census Tract 1271.02; Los Angeles County; California,1586,417,0,223,0,1523,1543,30,7.9,0,4.2,0,28.8,29.2
1400000U,06037127103,Census Tract 1271.03; Los Angeles County; California,923,360,38,373,0,922,738,27.5,10.7,1.1,11.1,0,27.5,22
1400000U,06037127104,Census Tract 1271.04; Los Angeles County; California,2280,132,0,257,0,915,743,52.7,3.1,0,5.9,0,21.1,17.2
1400000U,06037127210,Census Tract 1272.10; Los Angeles County; California,1865,303,54,736,0,1671,805,34.3,5.6,1,13.5,0,30.8,14.8
1400000U,06037127220,Census Tract 1272.20; Los Angeles County; California,1075,99,36,589,0,1836,1115,22.6,2.1,0.8,12.4,0,38.7,23.5
1400000U,06037127300,Census Tract 1273; Los Angeles County; California,1372,302,51,450,0,911,1215,31.9,7,1.2,10.5,0,21.2,28.2
1400000U,06037127400,Census Tract 1274; Los Angeles County; California,1458,124,62,221,0,2598,1175,25.9,2.2,1.1,3.9,0,46.1,20.8
1400000U,06037127520,Census Tract 1275.20; Los Angeles County; California,960,205,79,239,0,2942,443,19.7,4.2,1.6,4.9,0,60.4,9.1
1400000U,06037127603,Census Tract 1276.03; Los Angeles County; California,688,155,37,199,0,1017,777,23.9,5.4,1.3,6.9,0,35.4,27
1400000U,06037127604,Census Tract 1276.04; Los Angeles County; California,1245,296,31,202,0,811,566,39.5,9.4,1,6.4,0,25.7,18
1400000U,06037127605,Census Tract 1276.05; Los Angeles County; California,923,216,42,15,0,1824,662,25.1,5.9,1.1,0.4,0,49.5,18
1400000U,06037127606,Census Tract 1276.06; Los Angeles County; California,877,113,0,405,0,1304,519,27.3,3.5,0,12.6,0,40.5,16.1
1400000U,06037127711,Census Tract 1277.11; Los Angeles County; California,1394,160,0,288,0,829,560,43.1,5,0,8.9,0,25.7,17.3
1400000U,06037127712,Census Tract 1277.12; Los Angeles County; California,1353,309,0,270,0,518,1597,33.4,7.6,0,6.7,0,12.8,39.5
1400000U,06037127803,Census Tract 1278.03; Los Angeles County; California,1484,238,91,767,0,1634,788,29.7,4.8,1.8,15.3,0,32.7,15.8
1400000U,06037127804,Census Tract 1278.04; Los Angeles County; California,1137,185,83,523,282,1371,852,25.6,4.2,1.9,11.8,6.4,30.9,19.2
1400000U,06037127805,Census Tract 1278.05; Los Angeles County; California,965,178,0,83,0,1401,887,27.5,5.1,0,2.4,0,39.9,25.2
1400000U,06037127806,Census Tract 1278.06; Los Angeles County; California,1086,187,0,334,0,1204,918,29.1,5,0,9,0,32.3,24.6
1400000U,06037127910,Census Tract 1279.10; Los Angeles County; California,1017,226,149,378,10,2279,1013,20.1,4.5,2.9,7.5,0.2,44.9,20
1400000U,06037127920,Census Tract 1279.20; Los Angeles County; California,2414,55,11,196,0,1192,517,55.1,1.3,0.3,4.5,0,27.2,11.8
1400000U,06037128101,Census Tract 1281.01; Los Angeles County; California,1287,297,8,139,0,597,495,45.6,10.5,0.3,4.9,0,21.1,17.5
1400000U,06037128102,Census Tract 1281.02; Los Angeles County; California,1654,234,27,405,0,1621,951,33.8,4.8,0.6,8.3,0,33.1,19.4
1400000U,06037128210,Census Tract 1282.10; Los Angeles County; California,1169,185,180,234,0,1551,1681,23.4,3.7,3.6,4.7,0,31,33.6
1400000U,06037128220,Census Tract 1282.20; Los Angeles County; California,1419,244,0,145,0,657,527,47.4,8.2,0,4.8,0,22,17.6
1400000U,06037128302,Census Tract 1283.02; Los Angeles County; California,1316,297,25,405,0,1135,1381,28.9,6.5,0.5,8.9,0,24.9,30.3
1400000U,06037128303,Census Tract 1283.03; Los Angeles County; California,816,176,0,55,0,976,1409,23.8,5.1,0,1.6,0,28.4,41.1
