GEO_ID,FIPS,Total population
1400000U,6037219902,3509
1400000U,6037220000,4505
1400000U,6037220100,2463
1400000U,6037221110,3037
1400000U,6037221120,2946
1400000U,6037221210,2945
1400000U,6037221220,2752
1400000U,6037221302,3259
1400000U,6037221303,2531
1400000U,6037221304,3707
1400000U,6037221401,2965
1400000U,6037221402,2965
1400000U,6037221500,3527
1400000U,6037221601,3264
1400000U,6037221602,2223
1400000U,6037221710,2658
1400000U,6037221810,2433
1400000U,6037221820,2529
1400000U,6037221900,4572
1400000U,6037222001,2837
1400000U,6037222002,4719
1400000U,6037222100,4086
1400000U,6037222200,3642
1400000U,6037222500,4194
1400000U,6037222600,5268
1400000U,6037222700,4316
1400000U,6037224010,2974
1400000U,6037224020,2816
1400000U,6037224200,2174
1400000U,6037224310,1779
1400000U,6037224320,3593
1400000U,6037224410,2783
1400000U,6037224420,2168
1400000U,6037224600,3078
1400000U,6037224701,2463
1400000U,6037224702,2508
1400000U,6037226001,2027
1400000U,6037226002,1873
1400000U,6037226410,3561
1400000U,6037226420,5225
1400000U,6037226701,2518
1400000U,6037226702,3993
1400000U,6037227010,4279
1400000U,6037227020,3506
1400000U,6037228100,4392
1400000U,6037228210,3801
1400000U,6037228220,4470
1400000U,6037228310,4493
1400000U,6037228320,3420
1400000U,6037228410,3096
1400000U,6037228420,2893
1400000U,6037228500,4836
1400000U,6037228600,4734
1400000U,6037228710,4104
1400000U,6037228720,4909
1400000U,6037228800,5375
1400000U,6037228900,3187
1400000U,6037229100,4572
1400000U,6037229200,4550
1400000U,6037229300,5742
1400000U,6037229410,3897
1400000U,6037229420,4611
1400000U,6037231100,3407
1400000U,6037231210,4261
1400000U,6037231220,4143
1400000U,6037231301,2570
1400000U,6037231302,2890
1400000U,6037231400,4480
1400000U,6037231500,5048
1400000U,6037231601,2230
1400000U,6037231602,1870
1400000U,6037231603,2895
1400000U,6037231710,4026
1400000U,6037231720,5174
1400000U,6037231800,5469
1400000U,6037231901,3440
1400000U,6037231902,3207
1400000U,6037232110,3491
1400000U,6037232120,4935
1400000U,6037232200,3765
1400000U,6037232300,4766
1400000U,6037232401,3582
1400000U,6037232402,3098
1400000U,6037232500,5422
1400000U,6037232601,1688
1400000U,6037232602,5524
1400000U,6037232701,2348
1400000U,6037232702,4414
1400000U,6037232800,4184
1400000U,6037234001,2517
1400000U,6037234002,2896
1400000U,6037234200,2605
1400000U,6037234301,1779
1400000U,6037234302,2459
1400000U,6037234501,2770
1400000U,6037234502,2601
1400000U,6037234600,4694
1400000U,6037234700,3838
1400000U,6037234800,3534
1400000U,6037234901,2916
1400000U,6037234902,4535
1400000U,6037235100,4032
1400000U,6037235201,2880
1400000U,6037235202,3887
1400000U,6037236001,4063
1400000U,6037236101,2606
1400000U,6037236102,3510
1400000U,6037236203,3615
1400000U,6037236204,3387
1400000U,6037236205,3070
1400000U,6037236206,3175
1400000U,6037236400,4390
1400000U,6037237101,4136
1400000U,6037237102,3970
1400000U,6037237201,3766
1400000U,6037237202,4404
1400000U,6037237300,5762
1400000U,6037237401,3906
1400000U,6037237402,3618
1400000U,6037237500,2727
1400000U,6037237600,4092
1400000U,6037237710,4372
1400000U,6037237720,3447
1400000U,6037237800,4160
1400000U,6037237900,4040
1400000U,6037238000,5438
1400000U,6037238100,5205
1400000U,6037238200,6827
1400000U,6037238310,5102
1400000U,6037238320,3513
1400000U,6037238400,4495
1400000U,6037239201,3400
1400000U,6037239202,5385
1400000U,6037239310,4021
1400000U,6037239320,3105
1400000U,6037239330,3119
1400000U,6037239501,3583
1400000U,6037239502,3691
1400000U,6037239601,3753
1400000U,6037239602,3753
1400000U,6037239701,4021
1400000U,6037239702,4687
1400000U,6037239801,4174
1400000U,6037239802,5426
1400000U,6037240010,3962
1400000U,6037240020,5366
1400000U,6037240200,5737
1400000U,6037240301,2870
1400000U,6037240302,3013
1400000U,6037240401,5911
1400000U,6037240402,3904
1400000U,6037240500,6415
1400000U,6037240600,4807
1400000U,6037240700,6429
1400000U,6037240800,4749
1400000U,6037240901,2503
1400000U,6037240902,3614
1400000U,6037241001,4457
1400000U,6037241002,3830
1400000U,6037241110,3585
1400000U,6037241120,4245
1400000U,6037241201,3147
1400000U,6037241202,4825
1400000U,6037241300,2378
1400000U,6037241400,3901
1400000U,6037242000,4161
1400000U,6037242100,2402
1400000U,6037242201,4004
1400000U,6037242202,2729
1400000U,6037242300,4851
1400000U,6037242600,4714
1400000U,6037242700,4723
1400000U,6037243001,3246
1400000U,6037243002,2721
1400000U,6037243100,5186
1400000U,6037261102,3990
1400000U,6037261103,1722
1400000U,6037261104,1672
1400000U,6037261200,3880
1400000U,6037262100,2721
1400000U,6037262200,4630
1400000U,6037262301,2976
1400000U,6037262302,2940
1400000U,6037262303,2824
1400000U,6037262400,2893
1400000U,6037262501,3732
1400000U,6037262601,3418
1400000U,6037262604,5884
1400000U,6037262704,3595
1400000U,6037262706,3383
1400000U,6037262802,3636
1400000U,6037264000,3083
1400000U,6037264102,2965
1400000U,6037264103,2748
1400000U,6037264303,2702
1400000U,6037264304,2264
1400000U,6037264305,4526
1400000U,6037264306,1694
1400000U,6037265100,2301
1400000U,6037265201,2491
1400000U,6037265203,1993
1400000U,6037265204,1466
1400000U,6037265301,12987
1400000U,6037265303,4468
1400000U,6037265304,3088
1400000U,6037265306,1806
1400000U,6037265307,2407
1400000U,6037265410,1726
1400000U,6037265420,1636
1400000U,6037265521,1585
1400000U,6037265522,2332
1400000U,6037265523,2286
1400000U,6037265524,2768
1400000U,6037265601,3045
1400000U,6037265602,3057
1400000U,6037265701,1845
1400000U,6037265702,3107
1400000U,6037267101,2891
1400000U,6037267102,2957
1400000U,6037267201,2832
1400000U,6037267202,3779
1400000U,6037267300,4155
1400000U,6037267403,3559
1400000U,6037267404,3547
1400000U,6037267405,2423
1400000U,6037267406,1932
1400000U,6037267502,3281
1400000U,6037267503,2216
1400000U,6037267504,3568
1400000U,6037267600,2469
1400000U,6037267700,3753
1400000U,6037267800,3483
1400000U,6037267901,3106
1400000U,6037267902,3609
1400000U,6037269000,4867
1400000U,6037269100,4264
1400000U,6037269300,3771
1400000U,6037269500,4202
1400000U,6037269601,3465
1400000U,6037269602,2217
1400000U,6037269700,3858
1400000U,6037269800,3140
1400000U,6037269903,3487
1400000U,6037269905,2234
1400000U,6037269906,2998
1400000U,6037269907,2553
1400000U,6037269908,1916
1400000U,6037269909,2088
1400000U,6037270101,1796
1400000U,6037270102,2154
1400000U,6037270200,3606
1400000U,6037270300,2560
1400000U,6037271100,2317
1400000U,6037271200,2495
1400000U,6037271300,5216
1400000U,6037271400,3203
1400000U,6037271500,2928
1400000U,6037271600,5370
1400000U,6037271702,4293
1400000U,6037271703,2754
1400000U,6037271704,2982
1400000U,6037271801,3368
1400000U,6037271803,3188
1400000U,6037271804,2293
1400000U,6037271901,3358
1400000U,6037271902,3987
1400000U,6037272100,4441
1400000U,6037272201,2022
1400000U,6037272202,3034
1400000U,6037272301,3265
1400000U,6037272302,3779
1400000U,6037273100,3026
1400000U,6037273200,2778
1400000U,6037273300,2857
1400000U,6037273403,1360
1400000U,6037273404,1508
1400000U,6037273502,2571
1400000U,6037273600,2138
1400000U,6037273700,2751
1400000U,6037273800,2945
1400000U,6037273902,4238
1400000U,6037274100,4365
1400000U,6037274202,3858
1400000U,6037275101,935
1400000U,6037275102,4043
