GEO_ID,FIPS,NAME,S1903_C03_001E
1400000U,6037121210,Census Tract 1212.10; Los Angeles County; California,77195
1400000U,6037121221,Census Tract 1212.21; Los Angeles County; California,90417
1400000U,6037121222,Census Tract 1212.22; Los Angeles County; California,79167
1400000U,6037121600,Census Tract 1216; Los Angeles County; California,95250
1400000U,6037121801,Census Tract 1218.01; Los Angeles County; California,50357
1400000U,6037121802,Census Tract 1218.02; Los Angeles County; California,96304
1400000U,6037121900,Census Tract 1219; Los Angeles County; California,57381
1400000U,6037122000,Census Tract 1220; Los Angeles County; California,96763
1400000U,6037122120,Census Tract 1221.20; Los Angeles County; California,67083
1400000U,6037122121,Census Tract 1221.21; Los Angeles County; California,57500
1400000U,6037122122,Census Tract 1221.22; Los Angeles County; California,47799
1400000U,6037122200,Census Tract 1222; Los Angeles County; California,74293
1400000U,6037122410,Census Tract 1224.10; Los Angeles County; California,65060
1400000U,6037122420,Census Tract 1224.20; Los Angeles County; California,76250
1400000U,6037123010,Census Tract 1230.10; Los Angeles County; California,50136
1400000U,6037123020,Census Tract 1230.20; Los Angeles County; California,83968
1400000U,6037123103,Census Tract 1231.03; Los Angeles County; California,87011
1400000U,6037123104,Census Tract 1231.04; Los Angeles County; California,71606
1400000U,6037123203,Census Tract 1232.03; Los Angeles County; California,41923
1400000U,6037123204,Census Tract 1232.04; Los Angeles County; California,67500
1400000U,6037123205,Census Tract 1232.05; Los Angeles County; California,60417
1400000U,6037123206,Census Tract 1232.06; Los Angeles County; California,53036
1400000U,6037123301,Census Tract 1233.01; Los Angeles County; California,69118
1400000U,6037123303,Census Tract 1233.03; Los Angeles County; California,72109
1400000U,6037123304,Census Tract 1233.04; Los Angeles County; California,46300
1400000U,6037123410,Census Tract 1234.10; Los Angeles County; California,45167
1400000U,6037123420,Census Tract 1234.20; Los Angeles County; California,56519
1400000U,6037123510,Census Tract 1235.10; Los Angeles County; California,51546
1400000U,6037123520,Census Tract 1235.20; Los Angeles County; California,59643
1400000U,6037123601,Census Tract 1236.01; Los Angeles County; California,87295
1400000U,6037123602,Census Tract 1236.02; Los Angeles County; California,69311
1400000U,6037123700,Census Tract 1237; Los Angeles County; California,93201
1400000U,6037123800,Census Tract 1238; Los Angeles County; California,92964
1400000U,6037123901,Census Tract 1239.01; Los Angeles County; California,56333
1400000U,6037123902,Census Tract 1239.02; Los Angeles County; California,86583
1400000U,6037124000,Census Tract 1240; Los Angeles County; California,82127
1400000U,6037124102,Census Tract 1241.02; Los Angeles County; California,76315
1400000U,6037124103,Census Tract 1241.03; Los Angeles County; California,70350
1400000U,6037124104,Census Tract 1241.04; Los Angeles County; California,53775
1400000U,6037124105,Census Tract 1241.05; Los Angeles County; California,66726
1400000U,6037124201,Census Tract 1242.01; Los Angeles County; California,73079
1400000U,6037124203,Census Tract 1242.03; Los Angeles County; California,79570
1400000U,6037124204,Census Tract 1242.04; Los Angeles County; California,52451
1400000U,6037124300,Census Tract 1243; Los Angeles County; California,69909
1400000U,6037124400,Census Tract 1244; Los Angeles County; California,86713
1400000U,6037124500,Census Tract 1245; Los Angeles County; California,77635
1400000U,6037124600,Census Tract 1246; Los Angeles County; California,100257
1400000U,6037124700,Census Tract 1247; Los Angeles County; California,110375
1400000U,6037124902,Census Tract 1249.02; Los Angeles County; California,62051
1400000U,6037124903,Census Tract 1249.03; Los Angeles County; California,78575
1400000U,6037125101,Census Tract 1251.01; Los Angeles County; California,81944
1400000U,6037125102,Census Tract 1251.02; Los Angeles County; California,164313
1400000U,6037125200,Census Tract 1252; Los Angeles County; California,85200
1400000U,6037125310,Census Tract 1253.10; Los Angeles County; California,58548
1400000U,6037125321,Census Tract 1253.21; Los Angeles County; California,61625
1400000U,6037125322,Census Tract 1253.22; Los Angeles County; California,47991
1400000U,6037125402,Census Tract 1254.02; Los Angeles County; California,88943
1400000U,6037125403,Census Tract 1254.03; Los Angeles County; California,85956
1400000U,6037125404,Census Tract 1254.04; Los Angeles County; California,79967
1400000U,6037125501,Census Tract 1255.01; Los Angeles County; California,60714
1400000U,6037125502,Census Tract 1255.02; Los Angeles County; California,84107
1400000U,6037125600,Census Tract 1256; Los Angeles County; California,110318
1400000U,6037127102,Census Tract 1271.02; Los Angeles County; California,61848
1400000U,6037127103,Census Tract 1271.03; Los Angeles County; California,56071
1400000U,6037127104,Census Tract 1271.04; Los Angeles County; California,64678
1400000U,6037127210,Census Tract 1272.10; Los Angeles County; California,64000
1400000U,6037127220,Census Tract 1272.20; Los Angeles County; California,46005
1400000U,6037127300,Census Tract 1273; Los Angeles County; California,81049
1400000U,6037127400,Census Tract 1274; Los Angeles County; California,63587
1400000U,6037127520,Census Tract 1275.20; Los Angeles County; California,52290
1400000U,6037127603,Census Tract 1276.03; Los Angeles County; California,58460
1400000U,6037127604,Census Tract 1276.04; Los Angeles County; California,47724
1400000U,6037127605,Census Tract 1276.05; Los Angeles County; California,71500
1400000U,6037127606,Census Tract 1276.06; Los Angeles County; California,66383
1400000U,6037127711,Census Tract 1277.11; Los Angeles County; California,93194
1400000U,6037127712,Census Tract 1277.12; Los Angeles County; California,64239
1400000U,6037127803,Census Tract 1278.03; Los Angeles County; California,70500
1400000U,6037127804,Census Tract 1278.04; Los Angeles County; California,68790
1400000U,6037127805,Census Tract 1278.05; Los Angeles County; California,65952
1400000U,6037127806,Census Tract 1278.06; Los Angeles County; California,81250
1400000U,6037127910,Census Tract 1279.10; Los Angeles County; California,68981
1400000U,6037127920,Census Tract 1279.20; Los Angeles County; California,71042
1400000U,6037128101,Census Tract 1281.01; Los Angeles County; California,82232
1400000U,6037128102,Census Tract 1281.02; Los Angeles County; California,57558
1400000U,6037128210,Census Tract 1282.10; Los Angeles County; California,44316
1400000U,6037128220,Census Tract 1282.20; Los Angeles County; California,60794
1400000U,6037128302,Census Tract 1283.02; Los Angeles County; California,57700
1400000U,6037128303,Census Tract 1283.03; Los Angeles County; California,43750
1400000U,6037128400,Census Tract 1284; Los Angeles County; California,132931
1400000U,6037128500,Census Tract 1285; Los Angeles County; California,121500
1400000U,6037128601,Census Tract 1286.01; Los Angeles County; California,71893
1400000U,6037128602,Census Tract 1286.02; Los Angeles County; California,87574
1400000U,6037128703,Census Tract 1287.03; Los Angeles County; California,101705
1400000U,6037128704,Census Tract 1287.04; Los Angeles County; California,127422
1400000U,6037128801,Census Tract 1288.01; Los Angeles County; California,83125
1400000U,6037128802,Census Tract 1288.02; Los Angeles County; California,96818
1400000U,6037128910,Census Tract 1289.10; Los Angeles County; California,108321
1400000U,6037131021,Census Tract 1310.21; Los Angeles County; California,60609
1400000U,6037131022,Census Tract 1310.22; Los Angeles County; California,65000
