FIPS,Total population
6037504200,7160
6037530005,3430
6037530006,4698
6037530007,6453
6037530101,5163
6037530102,4817
6037530202,4133
6037530203,2803
6037530204,3735
6037530301,2100
6037530302,6189
6037530400,3576
6037530500,4001
6037530603,4439
6037530700,2070
6037530801,5914
6037530802,3224
6037530901,3954
6037530902,3745
6037531000,4609
6037531101,4525
6037531102,2428
6037531201,4180
6037531202,4493
6037531301,5450
6037531302,5648
6037531502,3209
6037531503,2445
6037531504,3990
6037531602,3747
6037531603,3483
6037531604,3065
6037531701,5398
6037531702,4832
6037531800,4508
6037531901,6664
6037531902,4014
6037532001,3133
6037532002,3348
6037532101,7260
6037532102,3655
6037532200,6445
6037532302,4622
6037532303,4111
6037532304,3968
6037532500,3736
6037532605,4431
6037532606,4052
6037532607,5150
6037532700,3128
6037532800,4291
6037532900,6247
6037533001,4368
6037533002,2217
6037533103,3189
6037533104,4307
6037533105,2476
6037533108,4758
6037533201,2157
6037533204,4099
6037533300,3061
6037533401,4534
6037533402,3988
6037533403,2507
6037533501,2796
6037533504,3879
6037533601,4227
6037533602,5081
6037533603,6314
6037533701,2909
6037533702,3678
6037533703,3916
6037533803,5723
6037533804,3666
6037533805,3883
6037533806,3307
6037533901,5170
6037533902,4339
6037534001,5154
6037534002,3982
6037534101,1898
6037534102,5860
6037534201,4097
6037534202,4875
6037534203,3286
6037534301,4028
6037534302,3835
6037534403,3311
6037534404,3118
6037534405,3925
6037534406,4108
6037534501,5441
6037534502,3187
6037534700,4165
6037534802,2466
6037534803,4517
6037534804,4298
6037534900,6133
6037535001,4166
6037535002,3665
6037535101,7981
6037535102,4522
6037535200,5799
6037535300,5818
6037535400,3388
